,name,prepayment_amount,body,issue_year,color,drive_unit,eng_capacity,mileage,condition,fuel_type,cleared,transmission,published_time,city,price,views,link,description,year,car_name,model
0,"BMW 7 series, 2018",0,Седан,2018,Чёрный,Полный,5.0,77000,С пробегом,Бензин,Да,Автомат,2023-03-08 18:32:00,Душанбе,550000,2022,https://somon.tj/adv/9339378_bmw-7-series-2018/,Мошин Корейский состоянии зур.Полный фулл комплектация,2018,BMW,7 series
1,"BMW Gran Turismo, 2018",0,Седан,2018,Чёрный,Задний,3.0,100,С пробегом,Дизель,Да,Автомат,2023-03-08 18:56:00,Душанбе,470000,1148,https://somon.tj/adv/9108321_bmw-gran-turismo-2018/,Bmw 630M GT в отличном состоянии,2018,BMW,Gran Turismo
2,"BMW X5, 2011",64500,Внедорожник,2011,Чёрный,Полный,3.0,145000,С пробегом,Дизель,Да,Автомат,2023-03-08 18:46:00,Душанбе,215000,38,https://somon.tj/adv/9579439_bmw-x5-2011/,"Мошин дар холати хубай
10 мох танировка хучат 
Ходовой созай
Балоно нав 
Акамулятор нав пачка
Алиш ба ягон лексус е камри 
Усто биерен бинен ба мошина савдо кнен",2011,BMW,X5
3,"BYD Yuan Plus, 2022",0,Кроссовер,2022,Белый,Передний,1.6,300,Новая,Электричество,Да,Автомат,2023-03-08 18:41:00,Душанбе,275000,18,https://somon.tj/adv/9579419_byd-yuan-plus-2022/,электромобиль,2022,BYD,Yuan Plus
4,"BYD, 2022",0,Седан,2022,Белый,Передний,1.6,300,Новая,Электричество,Да,Автомат,2023-03-08 18:37:00,Душанбе,275000,13,https://somon.tj/adv/9579391_byd-drugie-modeli-2022/,электромобиль,2022,BYD,
5,"Chevrolet Epica, 2010",0,Седан,2010,Чёрный,Передний,2.4,121000,С пробегом,Бензин,Да,Автомат,2023-03-05 09:43:00,Худжанд,65000,50740,https://somon.tj/adv/8308735_chevrolet-epica-2010/,Автомат. Кожанний салон. Кондиционер. Монитор. Обогрев сидений. Парктроник.,2010,Chevrolet,Epica
6,"Chevrolet Lacetti, 2005",9600,Седан,2005,Серебристый,Передний,1.8,219000,С пробегом,Бензин + газ,Да,Автомат,2023-03-08 18:35:00,Пенджикент,32000,64,https://somon.tj/adv/9579378_chevrolet-lacetti-2005/,мошин дар холати хуби техники карор дорад матори зафира 1.8 нав мондаги як рангу кузовной кор дорад тамом бехуда занг назанетон кати мерс или опел алиш мешад,2005,Chevrolet,Lacetti
7,"Chevrolet Matiz, 2007",11399,Хэтчбек,2007,Чёрный,Передний,0.8,111111,С пробегом,Бензин,Да,Механика,2023-03-08 18:33:00,Худжанд,37999,23,https://somon.tj/adv/9579369_chevrolet-matiz-2007/,вагон,2007,Chevrolet,Matiz
8,"Chevrolet Sonic, 2018",26100,Седан,2018,Серебристый,Передний,1.8,123456,С пробегом,Бензин + газ,Да,Автомат,2023-03-08 18:33:00,Душанбе,87000,19,https://somon.tj/adv/9579365_chevrolet-sonic-2018/,"Chevrolet sonic Amerika 2018 Срочно
Стар стоп 
Патроник манитор задний камера заводской
обогрев рул
Датчик паласа 
Документош нав 1 сола
4 балони нав
Кароче мошин фулай 
Камтар кор дора занг зане мефахмонем
Илтимос одамои конкретни харидоро занг занан мошин дар ширкати 3333 кор кадест 
Алиш намеша",2018,Chevrolet,Sonic
9,"Daewoo Damas, 2005",12600,Седан,2005,Другой цвет,Передний,0.8,0,С пробегом,Газ,Да,Механика,2023-03-05 17:45:00,Спитамен,42000,288,https://somon.tj/adv/9562983_daewoo-damas-2005/,100%,2005,Daewoo,Damas
10,"Daewoo Lanos, 1998",0,Хэтчбек,1998,Голубой,Передний,1.6,32456,С пробегом,Бензин + газ,Да,Механика,2023-03-08 18:41:00,Файзабад,22500,37,https://somon.tj/adv/9579418_daewoo-lanos-1998/,Мошин яксола хучат дорад кондисионер дорад хадавой 70ф балонош 70ф матор 100ф регион душанбе дар сентри файзобод карор дорад муомила дорад дар назди мошин срочно,1998,Daewoo,Lanos
11,"Daewoo Nexia, 1995",0,Седан,1995,Серебристый,Передний,1.6,193625,С пробегом,Бензин + газ,Да,Механика,2023-03-08 18:49:00,Душанбе,21000,44,https://somon.tj/adv/9579452_daewoo-nexia-1995/,дар холати бехтарин карор дорад 4 балон нав дакмент 1 сол матор 100% харидор ай пеши чак чак мекнем,1995,Daewoo,Nexia
12,"Daewoo Nexia, 1996",0,Седан,1996,Белый,Полный,1.6,0,С пробегом,Бензин + газ,Да,Механика,2023-03-08 18:36:00,Пяндж,15000,33,https://somon.tj/adv/9579388_daewoo-nexia-1996/,нарх ахиршай,1996,Daewoo,Nexia
